,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood
167,2995,2.0,1,800,3,2.0,106,0,0,0,0,0,0,0,0,Midtown West
168,5900,2.0,2,1076,5,11.0,30,0,0,0,0,0,0,0,0,Upper East Side
169,3920,1.0,1,718,4,4.0,16,1,1,1,1,1,1,0,1,Chelsea
170,4795,1.0,1,707,7,10.0,16,0,1,0,1,1,0,0,1,Upper West Side
171,3800,1.0,1,600,2,14.0,9,1,0,0,0,0,0,0,0,Financial District
172,12500,3.0,3,1833,5,14.0,2,0,0,0,0,0,0,0,0,Midtown East
173,5000,1.0,1,805,4,4.0,9,0,1,1,1,1,1,0,1,Flatiron
174,4365,0.0,1,619,3,37.0,6,1,0,0,0,0,0,0,0,Chelsea
175,3950,1.0,1,899,1,3.0,112,1,0,0,0,0,0,0,0,Financial District
176,4000,1.0,1,740,2,17.0,14,1,0,0,0,0,0,0,0,Midtown South
177,3905,1.0,1,809,7,26.0,39,1,0,0,0,0,0,0,0,Upper East Side
178,4000,1.0,1,700,3,4.0,62,0,0,1,1,1,0,0,0,West Village
179,2750,0.0,1,475,1,5.0,25,0,0,0,0,1,0,0,1,Upper West Side
180,3631,1.0,1,707,3,1.0,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV
181,2095,0.0,1,410,8,2.0,106,0,0,0,1,1,0,0,0,Midtown West
182,7995,2.0,2,852,3,6.0,106,0,0,0,0,0,0,0,0,Soho
183,2995,0.0,1,579,4,2.0,55,0,1,0,1,1,0,1,1,Upper West Side
184,18450,2.0,2,830,2,7.0,29,1,1,1,1,1,1,0,1,Upper East Side
185,4250,1.0,1,800,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West
186,4995,1.0,1,972,7,10.0,6,0,0,1,0,0,0,0,0,Gramercy Park
187,4200,0.0,1,530,1,17.0,90,0,0,0,0,1,0,0,0,Chelsea
188,4300,1.0,1,700,5,9.0,37,0,0,0,1,1,1,0,0,Upper West Side
189,14000,2.0,2,2000,4,55.0,33,0,0,0,1,1,0,0,0,Midtown
190,8250,2.0,2,1406,4,3.0,11,0,0,0,1,1,1,0,1,Soho
191,3950,1.0,1,750,2,2.0,106,0,0,1,1,1,0,0,0,Chelsea
192,5995,1.0,2,1815,4,1.0,96,0,0,0,1,1,0,0,1,Financial District
193,4785,1.0,1,823,5,17.0,44,1,0,0,0,0,0,0,0,Midtown East
194,4800,2.0,2,1150,12,35.0,27,1,1,0,1,1,1,1,1,Midtown East
195,3595,1.0,1,620,11,9.0,31,1,0,0,0,0,0,0,0,Upper East Side
196,4500,2.0,2,1041,10,6.0,27,0,0,0,0,1,1,0,0,Midtown East
197,5415,1.0,1,767,2,29.0,8,1,0,0,0,0,0,0,0,Midtown South
198,5500,1.0,1,1145,4,2.0,11,0,0,0,1,1,0,0,1,Soho
199,3700,2.0,1,850,4,4.0,53,0,0,0,1,0,0,0,0,Upper East Side
200,1700,1.0,1,400,8,3.0,5,0,0,0,0,0,0,0,0,East Harlem
201,2799,0.0,1,750,3,3.0,96,0,0,0,0,0,0,0,0,Upper East Side
202,9300,3.0,3,1800,3,12.0,100,0,0,0,0,0,0,1,0,Upper West Side
203,4990,1.0,1,643,3,32.0,6,1,0,0,0,0,0,0,0,Chelsea
204,7795,3.0,2,1266,1,5.0,43,0,0,0,0,0,0,0,0,Chelsea
205,6000,2.0,2,900,1,26.0,31,0,0,1,0,0,0,0,0,Flatiron
206,2450,0.0,1,450,2,10.0,93,0,0,0,0,0,0,0,0,Midtown East
207,7000,4.0,3,2200,6,16.0,57,0,0,0,0,0,0,0,0,Midtown East
208,3250,0.0,1,570,2,3.0,86,1,0,0,0,0,0,0,0,Midtown West
209,5495,1.0,1,860,2,19.0,30,1,0,0,0,0,0,0,0,Flatiron
210,4050,1.0,1,834,2,6.0,58,0,1,1,0,1,1,0,0,Midtown East
211,3900,1.0,1,720,4,8.0,7,0,0,0,0,0,0,0,0,Tribeca
212,3195,1.0,1,574,2,11.0,99,1,0,0,1,1,0,0,1,Upper West Side
213,3000,1.0,1,496,2,4.0,28,0,0,0,0,0,0,0,0,Midtown West
214,3700,1.0,1,642,10,32.0,29,1,0,0,0,0,0,0,0,Midtown West
215,7950,2.0,2,1280,2,45.0,38,0,0,0,0,0,0,0,0,Midtown West
216,2995,1.0,1,610,2,19.0,29,0,0,0,0,1,1,0,0,Battery Park City
217,2600,0.0,1,437,12,3.0,8,0,0,1,0,0,1,1,0,Midtown West
218,2095,0.0,1,410,8,2.0,106,0,0,0,1,1,0,0,0,Midtown West
219,5668,2.0,2,1022,4,21.0,47,1,0,0,0,0,0,0,0,Financial District
220,7995,3.0,2,1518,3,4.0,31,1,0,0,0,1,0,0,0,Battery Park City
221,3190,1.0,1,650,6,1.0,106,0,0,0,0,0,0,0,0,East Village
222,2300,1.0,1,400,12,2.0,106,0,0,0,0,0,0,0,0,East Village
223,4950,2.0,2,917,3,9.0,15,1,0,0,0,0,0,0,0,Upper West Side
224,3100,1.0,1,475,3,2.0,116,0,0,0,0,0,0,0,0,West Village
225,6400,3.0,2,1300,11,4.0,17,1,1,1,1,1,1,0,1,Chelsea
226,3950,1.0,1,800,2,10.0,8,0,1,1,0,0,1,0,0,Financial District
227,4400,1.0,1,500,3,2.0,106,0,0,0,0,0,0,0,0,Soho
228,6450,2.0,2,1025,6,3.0,2,1,0,0,0,0,0,0,0,Gramercy Park
229,3100,1.0,1,757,4,18.0,19,0,1,0,1,0,0,1,0,Upper West Side
230,7700,2.0,2,1175,2,36.0,6,0,0,0,1,0,0,0,0,Financial District
231,18250,4.0,4,2700,2,4.0,85,0,1,0,0,1,1,0,1,Upper West Side
232,13500,3.0,3,1868,43,32.0,8,0,0,0,0,0,0,1,0,Upper West Side
233,5780,3.0,2,1300,2,12.0,38,0,0,0,0,0,0,0,0,Midtown West
234,6800,2.0,2,1280,3,35.0,11,0,0,1,1,1,1,1,1,Midtown South
235,3300,2.0,1,750,12,3.0,96,1,0,0,0,0,0,0,0,Upper East Side
236,5500,2.0,1,1000,3,5.0,101,0,0,0,0,0,0,0,0,Tribeca
237,1750,2.0,1,500,4,1.0,100,1,0,0,0,0,0,0,0,Washington Heights
238,8500,2.0,2,1478,9,54.0,15,0,0,0,0,0,0,0,0,Midtown East
239,2650,0.0,1,482,6,30.0,28,0,0,0,0,0,0,0,0,Midtown East
240,3700,1.0,1,763,3,6.0,31,0,0,0,1,1,1,0,1,Battery Park City
241,6000,1.0,1,923,1,34.0,51,0,0,1,1,0,0,0,0,Greenwich Village
242,5145,2.0,2,1038,7,17.0,39,1,0,0,0,0,0,0,0,Upper East Side
243,2600,1.0,1,525,2,5.0,115,0,0,0,1,0,0,0,0,Midtown
244,1600,0.0,1,550,7,3.0,106,0,0,0,0,0,0,0,0,Central Harlem
245,3058,0.0,1,533,4,19.0,47,1,0,0,0,0,0,0,0,Financial District
246,4475,0.0,1,583,8,12.0,10,0,0,0,1,1,0,1,1,Chelsea
247,4950,1.0,1,927,3,32.0,29,1,1,1,1,1,1,0,0,Financial District
248,3932,1.0,1,678,4,9.0,47,1,0,0,0,0,0,0,0,Financial District
249,3000,1.0,1,730,2,7.0,53,0,0,0,1,0,0,0,0,Midtown
250,5150,3.0,1,910,9,31.0,86,0,0,0,0,0,0,0,0,Midtown West
251,3450,1.0,1,750,2,7.0,96,0,0,0,0,0,0,0,0,Midtown South
252,2250,2.0,1,750,7,4.0,102,1,0,0,0,0,1,0,0,Hamilton Heights
253,4260,2.0,1,958,10,30.0,27,1,0,1,0,0,1,0,0,Midtown East
254,4375,1.0,1,668,2,23.0,16,1,0,1,0,0,0,0,0,Flatiron
255,10995,3.0,3,1800,7,30.0,9,0,0,0,0,0,0,0,0,Upper West Side
256,2900,1.0,1,600,12,16.0,27,0,0,0,1,1,0,0,1,Midtown East
257,4200,1.0,1,690,7,6.0,6,0,0,1,1,0,0,0,0,Gramercy Park
258,7500,3.0,2,1425,3,6.0,54,0,0,0,0,0,0,0,0,Upper East Side
259,3665,1.0,1,674,4,8.0,47,1,0,0,0,0,0,0,0,Financial District
260,3800,3.0,2,1100,5,6.0,96,0,0,0,0,0,0,0,0,Upper West Side
261,2995,1.0,1,800,4,1.0,66,0,0,0,0,0,0,0,0,Midtown East
262,3935,1.0,1,752,6,4.0,14,1,0,0,0,0,0,0,0,Upper West Side
263,2495,0.5,1,500,6,4.0,96,0,1,1,1,1,1,0,1,Midtown East
264,3400,1.0,1,636,4,5.0,31,1,1,0,0,0,0,0,0,Upper West Side
265,5535,2.0,2,971,8,25.0,16,1,1,0,1,1,1,1,1,Midtown East
266,3600,1.0,1,643,3,13.0,8,0,0,0,0,0,0,0,0,Midtown South
267,5440,2.0,2,1120,3,14.0,30,1,0,0,0,0,0,0,0,Upper West Side
268,1950,0.0,1,400,6,7.0,75,0,1,1,0,0,0,0,0,Upper East Side
269,4100,1.0,1,600,6,24.0,6,1,0,0,0,0,0,0,0,Upper West Side
270,2200,0.0,1,275,1,3.0,116,1,0,0,0,0,0,0,0,Gramercy Park
271,7000,2.5,2,1367,3,20.0,29,1,0,0,1,1,1,1,1,Financial District
272,4695,2.0,2,1033,4,2.0,108,1,0,0,0,0,0,0,0,Financial District
273,5300,1.0,1,855,1,11.0,8,0,1,0,0,1,0,0,0,Flatiron
274,7900,2.0,2,1025,6,5.0,2,0,0,0,0,0,0,0,0,Gramercy Park
275,3600,1.0,1,648,4,4.0,2,0,0,0,0,0,0,0,0,Gramercy Park
276,1950,2.0,1,900,3,5.0,91,0,0,0,0,0,0,0,0,Inwood
277,7500,2.0,2,1600,2,3.0,116,0,0,0,0,0,0,0,0,Soho
